id,status,score,recommendedAction,source,company,title,location,remoteType,url,matchReasons,missingSkills,firstSeenAt,lastSeenAt
958d99410434,drafted,77,draft,linkedin,Skip to main content,NLP Research Intern,Remote,remote,https://uk.linkedin.com/jobs/view/nlp-research-intern-at-tencent-4414651468?position=2&pageNum=0&trackingId=M%2FFZkjbLkCVhgLQwwhH1OA%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches nlp; mentions research,,2026-05-17T07:11:07.583Z,2026-05-17T07:11:07.583Z
651f70033578,new,73,review,linkedin,Skip to main content,Machine Learning Intern/Co-op (Fall 2026),Remote,remote,https://www.linkedin.com/jobs/view/machine-learning-intern-co-op-fall-2026-at-pathai-4309502929?position=3&pageNum=0&trackingId=%2F4q9%2BfEJ22%2BRiQpYZN4QjQ%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches machine learning,,2026-05-17T07:11:07.583Z,2026-05-17T07:11:07.583Z
5485fe190778,new,73,review,linkedin,Skip to main content,Machine Learning Intern (Entry Level),Remote,remote,https://in.linkedin.com/jobs/view/machine-learning-intern-entry-level-at-leostoy-tech-ai-4415439037?position=9&pageNum=0&trackingId=lBWBiW11FSytmFd1Z6%2FPpg%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches machine learning,,2026-05-17T07:11:07.583Z,2026-05-17T07:11:07.583Z
db42d045aacd,new,73,review,linkedin,Skip to main content,Machine Learning Intern (Entry Level),Remote,remote,https://in.linkedin.com/jobs/view/machine-learning-intern-entry-level-at-leostoy-tech-ai-4415439037?position=2&pageNum=0&trackingId=%2FMPCS1N1xoZIgubpujSGxQ%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches machine learning,,2026-05-17T07:11:07.583Z,2026-05-17T07:11:07.583Z
2831d749789e,new,71,review,linkedin,Skip to main content,Data Science Intern,Remote,remote,https://www.linkedin.com/jobs/view/data-science-intern-at-delta-dental-of-missouri-4410354537?position=3&pageNum=0&trackingId=ur4VIciLvfqLhtHEfMMnYQ%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches data science,,2026-05-17T07:11:07.583Z,2026-05-17T07:11:07.583Z
3a4b2f0aefe3,new,69,review,linkedin,Skip to main content,AI Intern,Remote,remote,https://www.linkedin.com/jobs/view/ai-intern-at-publicis-production-4405008061?position=3&pageNum=0&trackingId=qQCIb%2BB19Sr%2B0FC6I7FbOw%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches ai,,2026-05-17T07:11:07.583Z,2026-05-17T07:11:07.583Z
5241c227507e,new,69,review,linkedin,Skip to main content,Summer Intern- Electrical Safety & AI Automation,Remote,remote,https://bd.linkedin.com/jobs/view/summer-intern-electrical-safety-ai-automation-at-kontoor-brands-inc-4414733633?position=4&pageNum=0&trackingId=8dSzt9sAX5OiItT%2BLnygjA%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches ai,,2026-05-17T07:11:07.583Z,2026-05-17T07:11:07.583Z
efe1c3071fcf,new,67,review,linkedin,Skip to main content,NLP Research Intern,Remote,remote,https://jp.linkedin.com/jobs/view/nlp-research-intern-at-tencent-4414647551?position=7&pageNum=0&trackingId=jU2KSikESnTx%2B7Dr2TxFKw%3D%3D,internship/trainee role; title matches AI/ML focus; location is Karachi/Pakistan/remote friendly; matches python; matches ai; matches nlp; matches llm; mentions research; penalty: senior; penalty: lead,,2026-05-17T07:11:07.583Z,2026-05-17T07:11:07.583Z
52e16af7f8df,new,66,review,linkedin,Skip to main content,ARTIFICIAL INTELLIGENCE STRATEGY INTERN (SUMMER 2026),Remote,remote,https://www.linkedin.com/jobs/view/artificial-intelligence-strategy-intern-summer-2026-at-lea%2Belliott-inc-4414580391?position=7&pageNum=0&trackingId=KYzq92Vja2YOCkeotDwXmQ%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly; matches python; matches artificial intelligence; matches ai; matches data science; mentions research; penalty: senior,,2026-05-17T07:11:07.585Z,2026-05-17T07:11:07.585Z
4f0fa1667795,new,58,ignore,linkedin,Skip to main content,ARTIFICIAL INTELLIGENCE STRATEGY INTERN (SUMMER 2026),Remote,remote,https://www.linkedin.com/jobs/view/artificial-intelligence-strategy-intern-summer-2026-at-lea%2Belliott-inc-4414580391?position=2&pageNum=0&trackingId=VpORvlZEt6daFwE12ZiQxQ%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly; matches artificial intelligence,,2026-05-17T07:11:07.585Z,2026-05-17T07:11:07.585Z
f32ad6cde95a,new,54,ignore,linkedin,Skip to main content,Software Intern (Backend Development),Remote,remote,https://in.linkedin.com/jobs/view/software-intern-backend-development-at-appbay-technologies-4410168976?position=4&pageNum=0&trackingId=a%2F7g1vLx4OHAOX%2BWmZ0viQ%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly; mentions backend,,2026-05-17T07:11:07.585Z,2026-05-17T07:11:07.585Z
9551d08a633a,new,50,ignore,linkedin,Skip to main content,SDET Intern,Remote,remote,https://id.linkedin.com/jobs/view/sdet-intern-at-tiket-com-4412735989?position=8&pageNum=0&trackingId=Wfcq1zzYoPyRftvnBo3n4A%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly,,2026-05-17T07:11:07.586Z,2026-05-17T07:11:07.586Z
d4552abbd683,new,50,ignore,linkedin,Skip to main content,Software Engineer Intern,Remote,remote,https://www.linkedin.com/jobs/view/software-engineer-intern-at-hadrian-4412063840?position=1&pageNum=0&trackingId=wBe0bzR3Ed8TpAsn92hGcg%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly,,2026-05-17T07:11:07.586Z,2026-05-17T07:11:07.586Z
f6654b8315a7,new,50,ignore,linkedin,Skip to main content,Software Engineer Intern - MoneyLion,Remote,remote,https://www.linkedin.com/jobs/view/software-engineer-intern-moneylion-at-gen-4401294492?position=2&pageNum=0&trackingId=zOaagIhDR4Nv8ypUYMgRcQ%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly,,2026-05-17T07:11:07.586Z,2026-05-17T07:11:07.586Z
6002384ecf80,new,50,ignore,linkedin,Skip to main content,SDET Intern,Remote,remote,https://id.linkedin.com/jobs/view/sdet-intern-at-tiket-com-4412735989?position=9&pageNum=0&trackingId=tzwHj14i%2Bs1JPpfznZs7Kg%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly,,2026-05-17T07:11:07.586Z,2026-05-17T07:11:07.586Z
ba34f4934079,new,50,ignore,linkedin,Skip to main content,Servicing & CRM Intern,Remote,remote,https://my.linkedin.com/jobs/view/servicing-crm-intern-at-maxis-4415015461?position=8&pageNum=0&trackingId=WDQhPedq%2F4jowLbvzaHljw%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly,,2026-05-17T07:11:07.586Z,2026-05-17T07:11:07.586Z
2b21adc839b8,new,50,ignore,linkedin,Skip to main content,Software Development Engineer in Test (SDET) Intern,Remote,remote,https://in.linkedin.com/jobs/view/software-development-engineer-in-test-sdet-intern-at-visit-health-4413544883?position=3&pageNum=0&trackingId=kcZWPunoQKIFXdlHtIvpSw%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly,,2026-05-17T07:11:07.586Z,2026-05-17T07:11:07.586Z
a4f5e0cc91a0,new,41,ignore,linkedin,Skip to main content,Software Engineer Intern - MoneyLion,Remote,remote,https://www.linkedin.com/jobs/view/software-engineer-intern-moneylion-at-gen-4401294492?position=6&pageNum=0&trackingId=ExfoAOnKwx%2BNZoqI79rF3w%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly; matches ai; mentions backend; mentions api; mentions sql; penalty: senior; penalty: volunteer,aws; sql; rag,2026-05-17T07:11:07.587Z,2026-05-17T07:11:07.587Z
7f30a30316f0,new,41,ignore,linkedin,Skip to main content,SDET Intern,Remote,remote,https://id.linkedin.com/jobs/view/sdet-intern-at-tiket-com-4412735989?position=6&pageNum=0&trackingId=N5FTzcnItxq5HUPwxvC1EA%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly; matches ai; mentions backend; penalty: senior,aws; rag,2026-05-17T07:11:07.587Z,2026-05-17T07:11:07.587Z
a17d8dd7786d,new,40,ignore,linkedin,Skip to main content,Software Intern (Backend Development),Remote,remote,https://in.linkedin.com/jobs/view/software-intern-backend-development-at-appbay-technologies-4410168976?position=7&pageNum=0&trackingId=oBt5q59Y5MSa53VpxhWk8A%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly; matches python; matches ai; mentions backend; mentions api; mentions mongodb; mentions sql; penalty: senior; penalty: marketing,aws; sql,2026-05-17T07:11:07.588Z,2026-05-17T07:11:07.588Z
d0dbc9eb7ef3,new,40,ignore,linkedin,Skip to main content,Software Intern (Backend Development),Remote,remote,https://in.linkedin.com/jobs/view/software-intern-backend-development-at-appbay-technologies-4410168976?position=4&pageNum=0&trackingId=13SvHAYewqBXxTaqdXCgmA%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly; matches python; matches ai; mentions backend; mentions api; mentions mongodb; mentions sql; penalty: senior; penalty: marketing,aws; sql,2026-05-17T07:11:07.589Z,2026-05-17T07:11:07.589Z
5fe07843370f,new,37,ignore,linkedin,Skip to main content,Software Engineer Intern,Remote,remote,https://www.linkedin.com/jobs/view/software-engineer-intern-at-ipconfigure-inc-4413573582?position=8&pageNum=0&trackingId=6JqIot0Zffi0LZyG7KLrwg%3D%3D,internship/trainee role; location is Karachi/Pakistan/remote friendly; matches ai; penalty: senior,aws,2026-05-17T07:11:07.589Z,2026-05-17T07:11:07.589Z
f26ec2810196,new,,ignore,rozee,Vieba Pharma,Digital Marketing & AI Intern (Female) – Paid Internship,"Lahore, Pakistan",onsite-pakistan,https://www.rozee.pk/digital-marketing-ai-intern-female-%e2%80%93-paid-internship-lahore-jobs-1843122,internship/trainee role; title matches AI/ML focus; penalty: onsite outside Karachi; matches artificial intelligence; matches ai; penalty: lead; penalty: sales; penalty: marketing; penalty: digital marketing; penalty: female candidates only,,2026-05-17T07:11:07.593Z,2026-05-17T07:11:07.593Z
